Date,Open,High,Low,Last,Diff_Open_Cls
8/4/2020,11387.25,11427.25,11000.79,11212.08,175.17
8/5/2020,11215.85,11731.12,11079.73,11692.16,-476.31
8/6/2020,11691.54,11919.42,11524,11858.83,-167.29
8/7/2020,11852.75,11921.53,11326,11545,307.75
8/8/2020,11575,11821.62,11524,11714.01,-139.01
8/9/2020,11852.75,11921.53,11326,11545,307.75
8/10/2020,11639,12096.02,11483,11854,-215
8/11/2020,11854.11,11948.45,11123,11210.5,643.61
8/12/2020,11208,11634.53,11126.09,11582,-374
8/13/2020,11572.12,11668.14,11270.91,11609.46,-37.34
8/14/2020,11613.38,11868.25,11564.01,11769.25,-155.87
8/15/2020,11768.33,11994,11667.7,11883,-114.67
8/16/2020,11867.75,11995.75,11691.18,11849,18.75
8/17/2020,11833.86,12489,11763,12321.37,-487.51
8/18/2020,12324.5,12426.44,11821,12046.21,278.29
8/19/2020,12026.24,12118.39,11575.01,11713.54,312.7
8/20/2020,11715.25,11903.58,11672.08,11858.3,-143.05
8/21/2020,11864,11901,11600,11613.07,250.93
8/22/2020,11367,11613.07,11662.26,11613.06,-246.06
8/23/2020,11521.03,11602.75,11707.82,11666.59,-145.56
8/24/2020,11666.59,11844,11588.22,11735,-68.41
8/25/2020,11741,11796,11112.75,11266.75,474.25
8/26/2020,11257.68,11546.62,11250.14,11510.95,-253.27
8/27/2020,11513.25,11608,11119.26,11266.5,246.75
8/28/2020,11280.82,11566,11250,11510,-229.18
8/29/2020,11502.91,11605,11417.29,11517.14,-14.23
8/30/2020,11280.82,11566,11250,11510,-229.18
8/31/2020,11662,11789,11573.39,11680.47,-18.47
9/1/2020,11676.25,12065,11515.98,12024.75,-348.5
9/2/2020,12027,12065,11155.32,11372.5,654.5
9/3/2020,11370.56,11483.47,10457.31,10782.44,588.12
9/4/2020,10782.45,10821.44,9902.43,10602,180.45
9/5/2020,10610,10646.34,9850,10091.49,518.51
9/6/2020,10091.49,10324.16,9955.23,10239.65,-148.16
9/7/2020,10239.53,10382.89,9878.5,10151.79,87.74
9/8/2020,10152.49,10463,9921.73,10017.75,134.74
9/9/2020,10009.23,10358,9825.07,10264,-254.77
9/10/2020,10262,10512,10173.07,10301.23,-39.23
9/11/2020,10301.23,10394,10200.08,10327.84,-26.61
9/12/2020,10326.96,10491,10273.31,10441.12,-114.16
9/13/2020,10442,10600,10214.11,10256.91,185.09
9/14/2020,10263,10771,10250,10695.98,-432.98
9/15/2020,10690.91,10949,10611.17,10867.69,-176.78
9/16/2020,10870.5,11103,10662.81,10999.54,-129.04
9/17/2020,10999.54,11068,10724.42,10938.97,60.57
9/18/2020,10936.94,11063,10815.11,10887.7,49.24
9/19/2020,10887.37,11184,10876.21,11088.12,-200.75
9/20/2020,11088.13,11093.5,10752.44,10894.91,193.22
9/21/2020,10889.39,10999,10286.51,10483,406.39
9/22/2020,10497,10548,10353.39,10516.26,-19.26
9/23/2020,10539,10596,10138.3,10219.73,319.27
9/24/2020,10222.5,10745,10190.04,10633.25,-410.75
9/25/2020,10632.4,10822,10552,10722.73,-90.33
