Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
11/1/2020 2:00,13730.52,13772.02,13707.68,13759.9,420.4573,6.51260936,21.2084747,13877.07714,13788.14185,13699.20656
11/1/2020 2:30,13759.91,13774.96,13739.71,13766.92,377.4775,4.506175425,17.86801485,13874.1049,13786.12072,13698.13654
11/1/2020 3:00,13766.91,13769.99,13686.14,13716.19,526.3547,-1.164007008,14.06161048,13872.03435,13779.46066,13686.88696
11/1/2020 3:30,13715.88,13733.9,13672,13672,491.5982,-9.1183208,9.42562422,13874.79921,13769.22631,13663.6534
11/1/2020 4:00,13672,13706.28,13641,13690,679.1878,-13.81052311,4.778394755,13875.72614,13761.68094,13647.63575
11/1/2020 4:30,13690.01,13701.05,13603,13652.49,986.6099,-20.32161582,-0.24160736,13879.82726,13751.28181,13622.73635
11/1/2020 5:00,13652.5,13685.42,13645.82,13677.27,570.5146,-23.21456178,-4.836198244,13880.65993,13744.23306,13607.8062
11/1/2020 5:30,13677.25,13743.71,13658.47,13743.71,612.7332,-19.91650449,-7.852259493,13880.04538,13744.18325,13608.32112
11/1/2020 6:00,13743.71,13755,13686.78,13698.22,466.0035,-20.73441967,-10.42869153,13878.99121,13739.8058,13600.62038
11/1/2020 6:30,13698.23,13727.25,13680.23,13713.49,656.3761,-19.92082707,-12.32711864,13875.20649,13737.29953,13599.39257
11/1/2020 7:00,13713.5,13746.75,13701.5,13714.57,437.977,-18.97022515,-13.65573994,13866.98834,13735.13481,13603.28129
11/1/2020 7:30,13714.56,13758.44,13710.52,13734.56,476.0099,-16.41462278,-14.20751651,13859.95281,13735.08007,13610.20733
11/1/2020 8:00,13734.55,13809.16,13720.88,13792.51,853.8973,-9.60251697,-13.2865166,13857.78468,13740.54959,13623.31449
11/1/2020 8:30,13792.51,13812,13752.48,13760,698.1352,-6.74935695,-11.97908467,13849.897,13742.40201,13634.90701
11/1/2020 9:00,13760,13767.43,13729.88,13748.85,579.3556,-5.32651811,-10.64857136,13835.17874,13743.0161,13650.85346
11/1/2020 9:30,13748.84,13762.07,13697.16,13729.63,827.2593,-5.684276647,-9.655712416,13831.53122,13741.74123,13651.95125
11/1/2020 10:00,13729.63,13739,13672,13687.95,549.3342,-9.224694,-9.569508733,13824.28984,13736.61826,13648.94667
11/1/2020 10:30,13687.95,13727.82,13680.3,13716.67,731.7523,-9.602346411,-9.576076268,13808.32691,13734.71843,13661.10994
11/1/2020 11:00,13716.67,13746.52,13709.87,13725.6,569.02,-9.076434807,-9.476147976,13806.86403,13733.85,13660.83598
11/1/2020 11:30,13725.61,13783.95,13700,13700.68,712.9458,-10.54888088,-9.690694556,13803.08099,13730.69096,13658.30092
11/1/2020 12:00,13700.34,13715.58,13655.01,13696.58,1231.7828,-11.90935707,-10.13442706,13798.05426,13727.44229,13656.83032
11/1/2020 12:30,13696.58,13731.94,13668.09,13715.83,626.3166,-11.30392552,-10.36832675,13794.08805,13726.33636,13658.58467
11/1/2020 13:00,13715.84,13771.59,13692.12,13760.41,1129.7751,-7.144525584,-9.723566518,13800.9822,13729.58147,13658.18074
11/1/2020 13:30,13760.29,13799,13733.9,13774.26,1156.0963,-2.699474059,-8.318748027,13805.78178,13733.83657,13661.89135
11/1/2020 14:00,13774.26,13798.87,13739.59,13793.73,660.8844,2.367041797,-6.181590062,13816.72991,13739.5407,13662.3515
11/1/2020 14:30,13793.75,13853.91,13772.47,13778,1909.71,5.054744628,-3.934323124,13813.77305,13743.20349,13672.63394
11/1/2020 15:00,13778,13824.54,13766.73,13795.09,776.2722,8.466195624,-1.454219374,13818.23243,13748.14507,13678.0577
11/1/2020 15:30,13795.09,13860,13789.63,13841.34,986.9298,14.73196269,1.783017039,13842.23818,13757.02077,13671.80337
11/1/2020 16:00,13841.33,13845.69,13800,13800,630.2138,16.17537607,4.661488845,13846.37845,13761.11403,13675.84962
11/1/2020 16:30,13800,13827.65,13761.87,13772.05,940.9168,14.89229109,6.707649293,13845.34998,13762.15555,13678.96113
11/1/2020 17:00,13771.95,13809.02,13761.92,13799.99,493.2689,15.94614427,8.555348289,13849.2976,13765.75883,13682.22007
11/1/2020 17:30,13799.99,13810,13768,13781.97,462.5739,15.1525974,9.874798111,13850.58,13767.30276,13684.02551
11/1/2020 18:00,13783.68,13833.26,13783.67,13810.89,506.2753,16.66520202,11.23287889,13858.15362,13771.45392,13684.75422
11/1/2020 18:30,13810.7,13830.62,13785.45,13800.26,377.8149,16.81239706,12.34878253,13863.10949,13774.19736,13685.28522
11/1/2020 19:00,13800.26,13821.57,13787.65,13793.45,447.5562,16.19287869,13.11760176,13865.57509,13776.03094,13686.48679
11/1/2020 19:30,13793.37,13825,13789.62,13823.48,425.8555,17.91852237,14.07778588,13872.17395,13780.5499,13688.92585
11/1/2020 20:00,13823.48,13828.16,13780.02,13790.39,470.5585,16.4266646,14.54756162,13863.67891,13781.48705,13699.2952
11/1/2020 20:30,13790.39,13842,13784.81,13830.58,630.3079,18.27667159,15.29338362,13867.21303,13786.16257,13705.11211
11/1/2020 21:00,13830.57,13841.93,13806.82,13817.46,497.3646,18.47121642,15.92895018,13867.39204,13789.14328,13710.89452
11/1/2020 21:30,13817.46,13864,13812.99,13838.18,921.1504,20.06601689,16.75636352,13865.00214,13793.81344,13722.62474
11/1/2020 22:00,13838.17,13838.17,13781,13811.93,550.7419,18.99281478,17.20365377,13852.26554,13795.53883,13738.81212
11/1/2020 22:30,13811.94,13821.87,13759.7,13782.62,674.6975,15.59742493,16.882408,13839.34885,13794.30846,13749.26808
11/1/2020 23:00,13782.62,13789.14,13639.55,13698.47,1669.9149,6.046650261,14.71525646,13849.55646,13785.18099,13720.80553
11/1/2020 23:30,13698.49,13726.82,13639.55,13718,1022.0004,5.29E-02,11.78278329,13853.83433,13778.7828,13703.73128
11/2/2020 0:00,13718,13763,13713.55,13761.49,807.8897,-1.17438991,9.191348648,13853.53327,13777.13587,13700.73846
11/2/2020 0:30,13761.49,13822.89,13761.49,13805.72,1461.4401,1.405767967,7.634232512,13855.15375,13779.85817,13704.56258
11/2/2020 1:00,13805.73,13830,13792.24,13801.38,1047.5639,3.065028207,6.720391651,13856.07566,13781.90787,13707.74007
11/2/2020 1:30,13801.38,13813.37,13765,13780.01,776.915,2.625359983,5.901385317,13851.06904,13781.72712,13712.38519
11/2/2020 2:00,13780.01,13803.71,13749.86,13752.66,631.4265,6.92E-02,4.734949366,13850.31872,13778.95882,13707.59891
